Film,Date,Year,Weekend,Gross
Raiders of the Lost Ark,9/6/1981,1981,36,3422322
Raiders of the Lost Ark,9/13/1981,1981,37,3321251
Continental Divide,9/20/1981,1981,38,3588193
Raiders of the Lost Ark,9/27/1981,1981,39,4632321
Raiders of the Lost Ark,10/4/1981,1981,40,3784812
Chariots of Fire,10/11/1981,1981,41,7521745
Chariots of Fire,10/18/1981,1981,42,6331634
Chariots of Fire,10/25/1981,1981,43,5541891
Halloween II,11/1/1981,1981,44,7446508
Time Bandits,11/8/1981,1981,45,6732915
Time Bandits,11/15/1981,1981,46,4581934
Time Bandits,11/22/1981,1981,47,3955671
Time Bandits,11/29/1981,1981,48,3831945
Reds,12/6/1981,1981,49,3985671
Reds,12/13/1981,1981,50,2473511
Sharky's Machine,12/20/1981,1981,51,4531587
Sharky's Machine,12/27/1981,1981,52,3812873
Sharky's Machine,1/3/1982,1981,53,3214731
Sharky's Machine,1/10/1982,1982,1,2850839
Absence of Malice,1/17/1982,1982,2,3290111
On Golden Pond,1/24/1982,1982,3,3853902
On Golden Pond,1/31/1982,1982,4,5008290
On Golden Pond,2/7/1982,1982,5,4900463
On Golden Pond,2/15/1982,1982,6,8177208
On Golden Pond,2/21/1982,1982,7,6526822
On Golden Pond,2/28/1982,1982,8,5602328
On Golden Pond,3/7/1982,1982,9,5507123
Richard Pryor: Live on the Sunset Strip,3/14/1982,1982,10,7780693
Porky's,3/21/1982,1982,11,7623988
Porky's,3/28/1982,1982,12,8602473
Porky's,4/4/1982,1982,13,8034766
Porky's,4/11/1982,1982,14,8082295
Porky's,4/18/1982,1982,15,6511216
Porky's,4/25/1982,1982,16,5280637
Porky's,5/2/1982,1982,17,4333570
Porky's,5/9/1982,1982,18,3393114
Conan the Barbarian,5/16/1982,1982,19,9603139
Conan the Barbarian,5/23/1982,1982,20,6874042
Rocky III,5/31/1982,1982,21,12400586
Star Trek II: The Wrath of Khan,6/6/1982,1982,22,14347221
E.T. the Extra-Terrestrial,6/13/1982,1982,23,11835389
E.T. the Extra-Terrestrial,6/20/1982,1982,24,12610610
E.T. the Extra-Terrestrial,6/27/1982,1982,25,13729552
E.T. the Extra-Terrestrial,7/5/1982,1982,26,12776454
E.T. the Extra-Terrestrial,7/11/1982,1982,27,12802287
E.T. the Extra-Terrestrial,7/18/1982,1982,28,13003581
The Best Little Whorehouse in Texas,7/25/1982,1982,29,11874268
E.T. the Extra-Terrestrial,8/1/1982,1982,30,10425071
E.T. the Extra-Terrestrial,8/8/1982,1982,31,9525306
Friday the 13th Part III,8/15/1982,1982,32,9406522
E.T. the Extra-Terrestrial,8/22/1982,1982,33,7684162
E.T. the Extra-Terrestrial,8/29/1982,1982,34,6630709
An Officer and a Gentleman,9/6/1982,1982,35,7711202
E.T. the Extra-Terrestrial,9/12/1982,1982,36,4598728
E.T. the Extra-Terrestrial,9/19/1982,1982,37,4261887
Amityville II: The Possession,9/26/1982,1982,38,4104277
E.T. the Extra-Terrestrial,10/3/1982,1982,39,3742140
An Officer and a Gentleman,10/10/1982,1982,40,4509267
E.T. the Extra-Terrestrial,10/17/1982,1982,41,3315692
First Blood,10/24/1982,1982,42,6642005
First Blood,10/31/1982,1982,43,4565972
First Blood,11/7/1982,1982,44,4416115
Creepshow,11/14/1982,1982,45,5870889
Star Wars Episode V: The Empire Strikes Back (Re-issue),11/21/1982,1982,46,3949478
E.T. the Extra-Terrestrial,11/28/1982,1982,47,3976778
E.T. the Extra-Terrestrial,12/5/1982,1982,48,2355819
The Toy,12/12/1982,1982,49,6322804
Tootsie,12/19/1982,1982,50,5540470
Tootsie,12/26/1982,1982,51,7469326
Tootsie,1/2/1983,1982,52,11222714
Tootsie,1/9/1983,1983,1,10553448
Tootsie,1/16/1983,1983,2,9487210
Tootsie,1/23/1983,1983,3,8407104
Tootsie,1/30/1983,1983,4,7325537
Tootsie,2/6/1983,1983,5,6523267
Tootsie,2/13/1983,1983,6,4747425
Tootsie,2/21/1983,1983,7,7524261
Tootsie,2/27/1983,1983,8,5236117
Tootsie,3/6/1983,1983,9,4349058
Tootsie,3/13/1983,1983,10,4044440
High Road to China,3/20/1983,1983,11,6156049
Spring Break,3/27/1983,1983,12,5908574
Spring Break,4/3/1983,1983,13,4448821
Tootsie,4/10/1983,1983,14,3430963
Lone Wolf McQuade,4/17/1983,1983,15,4295300
Flashdance,4/24/1983,1983,16,4085494
Flashdance,5/1/1983,1983,17,4095000
Flashdance,5/8/1983,1983,18,3385578
Blue Thunder,5/15/1983,1983,19,8258149
Spacehunter: Adventures in the Forbidden Zone,5/22/1983,1983,20,7053016
Return of the Jedi,5/30/1983,1983,21,30490619
Return of the Jedi,6/5/1983,1983,22,17229694
Return of the Jedi,6/12/1983,1983,23,11995064
Superman III,6/19/1983,1983,24,13352357
Return of the Jedi,6/26/1983,1983,25,11127915
Return of the Jedi,7/4/1983,1983,26,12038626
Return of the Jedi,7/10/1983,1983,27,7337926
Staying Alive,7/17/1983,1983,28,12146143
Jaws 3-D,7/24/1983,1983,29,13422500
National Lampoon's Vacation,7/31/1983,1983,30,8333358
National Lampoon's Vacation,8/7/1983,1983,31,7191832
National Lampoon's Vacation,8/14/1983,1983,32,6161649
Easy Money,8/21/1983,1983,33,5844974
Mr. Mom,8/28/1983,1983,34,6445106
Mr. Mom,9/5/1983,1983,35,8221715
Mr. Mom,9/11/1983,1983,36,4686652
Mr. Mom,9/18/1983,1983,37,3860064
Mr. Mom,9/25/1983,1983,38,3207199
The Big Chill,10/2/1983,1983,39,3662152
Never Say Never Again,10/10/1983,1983,40,10958157
Never Say Never Again,10/16/1983,1983,41,7233884
Never Say Never Again,10/23/1983,1983,42,6011610
Never Say Never Again,10/30/1983,1983,43,3781141
Deal of the Century,11/6/1983,1983,44,3520605
The Big Chill,11/13/1983,1983,45,2929243
Amityville 3-D,11/20/1983,1983,46,2366472
A Christmas Story,11/27/1983,1983,47,3935944
Terms of Endearment,12/4/1983,1983,48,3125453
Sudden Impact,12/11/1983,1983,49,9688561
Sudden Impact,12/18/1983,1983,50,7143953
Sudden Impact,12/26/1983,1983,51,5957766
Terms of Endearment,1/2/1984,1983,52,9058537
Terms of Endearment,1/8/1984,1984,1,6234421
Terms of Endearment,1/15/1984,1984,2,5211394
Terms of Endearment,1/22/1984,1984,3,3466172
Silkwood,1/29/1984,1984,4,3547122
Terms of Endearment,2/5/1984,1984,5,3045877
Unfaithfully Yours,2/12/1984,1984,6,3774126
Footloose,2/20/1984,1984,7,8556935
Footloose,2/26/1984,1984,8,6617737
Footloose,3/4/1984,1984,9,6300641
Splash,3/11/1984,1984,10,6174059
Splash,3/18/1984,1984,11,6452183
Police Academy,3/25/1984,1984,12,8570007
Police Academy,4/1/1984,1984,13,8061398
Police Academy,4/8/1984,1984,14,7403955
Friday the 13th: The Final Chapter,4/15/1984,1984,15,11183148
Police Academy,4/22/1984,1984,16,6101974
Police Academy,4/29/1984,1984,17,4733389
Breakin',5/6/1984,1984,18,6047686
The Natural,5/13/1984,1984,19,5088381
The Natural,5/20/1984,1984,20,5423233
Indiana Jones and the Temple of Doom,5/28/1984,1984,21,33936113
Star Trek III: The Search for Spock,6/3/1984,1984,22,16673295
Ghostbusters,6/10/1984,1984,23,13578151
Ghostbusters,6/17/1984,1984,24,15093905
Ghostbusters,6/24/1984,1984,25,13059428
Ghostbusters,7/1/1984,1984,26,11148617
Ghostbusters,7/8/1984,1984,27,11136134
Ghostbusters,7/15/1984,1984,28,9761392
Ghostbusters,7/22/1984,1984,29,8493861
Purple Rain,7/29/1984,1984,30,7766201
Ghostbusters,8/5/1984,1984,31,6443646
Red Dawn,8/12/1984,1984,32,8230381
Tightrope,8/19/1984,1984,33,9156545
Tightrope,8/26/1984,1984,34,7198635
Tightrope,9/3/1984,1984,35,7130891
Tightrope,9/9/1984,1984,36,4018355
Ghostbusters,9/16/1984,1984,37,3457626
All of Me,9/23/1984,1984,38,5803848
All of Me,9/30/1984,1984,39,5258421
Teachers,10/8/1984,1984,40,7013366
Teachers,10/14/1984,1984,41,4579286
Teachers,10/21/1984,1984,42,3448610
The Terminator,10/28/1984,1984,43,4020663
The Terminator,11/4/1984,1984,44,4219463
"Oh, God! You Devil",11/11/1984,1984,45,5560001
Missing in Action,11/18/1984,1984,46,6101460
Supergirl,11/25/1984,1984,47,5738249
Missing in Action,12/2/1984,1984,48,3021220
Beverly Hills Cop,12/9/1984,1984,49,15214805
Beverly Hills Cop,12/16/1984,1984,50,11514444
Beverly Hills Cop,12/25/1984,1984,51,15697159
Beverly Hills Cop,1/1/1985,1984,52,20064790
Beverly Hills Cop,1/6/1985,1985,1,11515665
Beverly Hills Cop,1/13/1985,1985,2,9616239
Beverly Hills Cop,1/20/1985,1985,3,6475055
Beverly Hills Cop,1/27/1985,1985,4,8216877
Beverly Hills Cop,2/3/1985,1985,5,7143280
Beverly Hills Cop,2/10/1985,1985,6,6026722
Beverly Hills Cop,2/18/1985,1985,7,7770244
Beverly Hills Cop,2/24/1985,1985,8,5857274
Beverly Hills Cop,3/3/1985,1985,9,5114137
Witness,3/10/1985,1985,10,4506587
Beverly Hills Cop,3/17/1985,1985,11,4614165
Friday the 13th: A New Beginning,3/24/1985,1985,12,8032883
Police Academy 2: Their First Assignment,3/31/1985,1985,13,10675896
Police Academy 2: Their First Assignment,4/7/1985,1985,14,8608385
Police Academy 2: Their First Assignment,4/14/1985,1985,15,5406970
Police Academy 2: Their First Assignment,4/21/1985,1985,16,4052568
Stick,4/28/1985,1985,17,3358299
Code of Silence,5/5/1985,1985,18,5512461
Code of Silence,5/12/1985,1985,19,3583099
Code of Silence,5/19/1985,1985,20,2803483
Rambo: First Blood Part II,5/27/1985,1985,21,25169330
Rambo: First Blood Part II,6/2/1985,1985,22,14810543
Rambo: First Blood Part II,6/9/1985,1985,23,10228608
Rambo: First Blood Part II,6/16/1985,1985,24,9162153
Cocoon,6/23/1985,1985,25,7936427
Pale Rider,6/30/1985,1985,26,9119111
Back to the Future,7/7/1985,1985,27,11152500
Back to the Future,7/14/1985,1985,28,10555133
Back to the Future,7/21/1985,1985,29,10315305
National Lampoon's European Vacation,7/28/1985,1985,30,12329627
Back to the Future,8/4/1985,1985,31,8428452
Back to the Future,8/11/1985,1985,32,8074395
Back to the Future,8/18/1985,1985,33,7252140
Back to the Future,8/25/1985,1985,34,6927360
Back to the Future,9/2/1985,1985,35,9049668
Back to the Future,9/8/1985,1985,36,5214465
Back to the Future,9/15/1985,1985,37,4134257
Back to the Future,9/22/1985,1985,38,3924156
Invasion U.S.A.,9/29/1985,1985,39,6891609
Commando,10/6/1985,1985,40,7700015
Commando,10/14/1985,1985,41,6540130
Commando,10/20/1985,1985,42,4171033
Jagged Edge,10/27/1985,1985,43,3216053
Death Wish 3,11/3/1985,1985,44,5319116
Death Wish 3,11/10/1985,1985,45,3161679
Once Bitten,11/17/1985,1985,46,4025657
King Solomon's Mines,11/24/1985,1985,47,5005788
Rocky IV,12/1/1985,1985,48,19991537
Rocky IV,12/8/1985,1985,49,11189102
Rocky IV,12/15/1985,1985,50,7208991
Rocky IV,12/22/1985,1985,51,8445197
Rocky IV,12/29/1985,1985,52,10755123
Rocky IV,1/5/1986,1986,1,7147074
Out of Africa,1/12/1986,1986,2,5137370
Iron Eagle,1/19/1986,1986,3,6104754
The Color Purple,1/26/1986,1986,4,4412456
Down and Out in Beverly Hills,2/2/1986,1986,5,5726495
Down and Out in Beverly Hills,2/9/1986,1986,6,6112115
Down and Out in Beverly Hills,2/17/1986,1986,7,7023743
Down and Out in Beverly Hills,2/23/1986,1986,8,5042912
Pretty in Pink,3/2/1986,1986,9,6065870
Pretty in Pink,3/9/1986,1986,10,4919668
Gung Ho,3/16/1986,1986,11,7170830
Police Academy 3: Back in Training,3/23/1986,1986,12,9049586
Police Academy 3: Back in Training,3/30/1986,1986,13,5750986
Police Academy 3: Back in Training,4/6/1986,1986,14,5089751
The Money Pit,4/13/1986,1986,15,3646200
Legend,4/20/1986,1986,16,4261154
Legend,4/27/1986,1986,17,2591751
"Jo Jo Dancer, Your Life Is Calling",5/4/1986,1986,18,4879107
Short Circuit,5/11/1986,1986,19,5346808
Top Gun,5/18/1986,1986,20,8193052
Cobra,5/26/1986,1986,21,15652147
Cobra,6/1/1986,1986,22,7511542
Top Gun,6/8/1986,1986,23,8231279
Back to School,6/15/1986,1986,24,8881035
"The Karate Kid, Part II",6/22/1986,1986,25,12652336
"The Karate Kid, Part II",6/29/1986,1986,26,8870625
"The Karate Kid, Part II",7/6/1986,1986,27,6284953
"The Karate Kid, Part II",7/13/1986,1986,28,6667787
Aliens,7/20/1986,1986,29,10052042
Aliens,7/27/1986,1986,30,8640292
Aliens,8/3/1986,1986,31,7060101
Aliens,8/10/1986,1986,32,5779352
The Fly,8/17/1986,1986,33,7007423
The Fly,8/24/1986,1986,34,4725970
Stand by Me,9/1/1986,1986,35,5037343
Stand by Me,9/7/1986,1986,36,3426615
Stand by Me,9/14/1986,1986,37,3010922
Top Gun,9/21/1986,1986,38,3292817
Crocodile Dundee,9/28/1986,1986,39,8038855
Crocodile Dundee,10/5/1986,1986,40,8207503
Crocodile Dundee,10/13/1986,1986,41,10560827
Crocodile Dundee,10/19/1986,1986,42,7434202
Crocodile Dundee,10/26/1986,1986,43,6745249
Crocodile Dundee,11/2/1986,1986,44,5716215
Crocodile Dundee,11/9/1986,1986,45,6392661
Crocodile Dundee,11/16/1986,1986,46,5521551
Crocodile Dundee,11/23/1986,1986,47,5537875
Star Trek IV: The Voyage Home,11/30/1986,1986,48,16881888
Star Trek IV: The Voyage Home,12/7/1986,1986,49,8833818
The Golden Child,12/14/1986,1986,50,11549711
The Golden Child,12/21/1986,1986,51,7877899
The Golden Child,12/28/1986,1986,52,10118277
The Golden Child,1/4/1987,1987,1,6644850
The Golden Child,1/11/1987,1987,2,4526427
Critical Condition,1/18/1987,1987,3,5715701
Critical Condition,1/25/1987,1987,4,3335808
Platoon,2/1/1987,1987,5,8352394
Platoon,2/8/1987,1987,6,8179149
Platoon,2/16/1987,1987,7,12875690
Platoon,2/22/1987,1987,8,8216207
A Nightmare on Elm Street 3: Dream Warriors,3/1/1987,1987,9,8880555
Lethal Weapon,3/8/1987,1987,10,6829949
Lethal Weapon,3/15/1987,1987,11,7104415
Lethal Weapon,3/22/1987,1987,12,6289750
Blind Date,3/29/1987,1987,13,7531273
Police Academy 4: Citizens on Patrol,4/5/1987,1987,14,8482487
The Secret of My Succe$s,4/12/1987,1987,15,7766452
The Secret of My Succe$s,4/19/1987,1987,16,7412160
The Secret of My Succe$s,4/26/1987,1987,17,5585900
The Secret of My Succe$s,5/3/1987,1987,18,4609670
The Secret of My Succe$s,5/10/1987,1987,19,3836710
Ishtar,5/17/1987,1987,20,4331817
Beverly Hills Cop II,5/25/1987,1987,21,33014153
Beverly Hills Cop II,5/31/1987,1987,22,17126642
Beverly Hills Cop II,6/7/1987,1987,23,12424035
Predator,6/14/1987,1987,24,12031638
The Witches of Eastwick,6/21/1987,1987,25,8251230
Dragnet,6/28/1987,1987,26,10542669
Dragnet,7/5/1987,1987,27,7042650
Revenge of the Nerds II: Nerds in Paradise,7/12/1987,1987,28,7900879
RoboCop,7/19/1987,1987,29,8008721
RoboCop,7/26/1987,1987,30,6332716
The Living Daylights,8/2/1987,1987,31,11051284
The Living Daylights,8/9/1987,1987,32,7706230
Stakeout,8/16/1987,1987,33,5574782
Stakeout,8/23/1987,1987,34,5559712
Stakeout,8/30/1987,1987,35,4729337
Stakeout,9/7/1987,1987,36,7071745
Stakeout,9/14/1987,1987,37,4202518
Fatal Attraction,9/21/1987,1987,38,7602740
Fatal Attraction,9/28/1987,1987,39,7707763
Fatal Attraction,10/4/1987,1987,40,9347602
Fatal Attraction,10/12/1987,1987,41,10554336
Fatal Attraction,10/18/1987,1987,42,7688730
Fatal Attraction,10/25/1987,1987,43,8046843
Fatal Attraction,11/1/1987,1987,44,6407677
Fatal Attraction,11/8/1987,1987,45,7089680
The Running Man,11/15/1987,1987,46,8117465
The Running Man,11/22/1987,1987,47,5671255
Three Men and a Baby,11/29/1987,1987,48,10384392
Three Men and a Baby,12/6/1987,1987,49,8425834
Throw Momma from the Train,12/13/1987,1987,50,7318878
Eddie Murphy Raw,12/20/1987,1987,51,9077324
Three Men and a Baby,12/27/1987,1987,52,10305227
Three Men and a Baby,1/3/1988,1988,1,13123622
Three Men and a Baby,1/10/1988,1988,2,8103282
"Good Morning, Vietnam",1/17/1988,1988,3,11752913
"Good Morning, Vietnam",1/24/1988,1988,4,10806276
"Good Morning, Vietnam",1/31/1988,1988,5,8260432
"Good Morning, Vietnam",2/7/1988,1988,6,8564496
"Good Morning, Vietnam",2/15/1988,1988,7,9011354
"Good Morning, Vietnam",2/21/1988,1988,8,6883781
"Good Morning, Vietnam",2/28/1988,1988,9,5232945
"Good Morning, Vietnam",3/6/1988,1988,10,5141491
"Good Morning, Vietnam",3/13/1988,1988,11,4369592
Police Academy 5: Assignment Miami Beach,3/20/1988,1988,12,6106661
Biloxi Blues,3/27/1988,1988,13,7093325
Beetlejuice,4/3/1988,1988,14,8030897
Beetlejuice,4/10/1988,1988,15,8667702
Beetlejuice,4/17/1988,1988,16,7145123
Beetlejuice,4/24/1988,1988,17,6201234
Colors,5/1/1988,1988,18,6524536
Colors,5/8/1988,1988,19,4007400
Friday the 13th Part VII: The New Blood,5/15/1988,1988,20,8245038
Willow,5/22/1988,1988,21,8300169
Crocodile Dundee II,5/30/1988,1988,22,24462976
Crocodile Dundee II,6/5/1988,1988,23,12717140
Crocodile Dundee II,6/12/1988,1988,24,8519246
Red Heat,6/19/1988,1988,25,8133822
Who Framed Roger Rabbit,6/26/1988,1988,26,11226239
Coming to America,7/3/1988,1988,27,21404420
Coming to America,7/10/1988,1988,28,13342707
Coming to America,7/17/1988,1988,29,10417790
Who Framed Roger Rabbit,7/24/1988,1988,30,8919732
Cocktail,7/31/1988,1988,31,11789466
Cocktail,8/7/1988,1988,32,8204479
Young Guns,8/14/1988,1988,33,7011393
A Nightmare on Elm Street 4: The Dream Master,8/21/1988,1988,34,12833403
A Nightmare on Elm Street 4: The Dream Master,8/28/1988,1988,35,6989358
A Nightmare on Elm Street 4: The Dream Master,9/5/1988,1988,36,6435710
Moon over Parador,9/11/1988,1988,37,3268975
A Fish Called Wanda,9/18/1988,1988,38,2555291
Dead Ringers,9/25/1988,1988,39,3012180
Gorillas in the Mist: The Story of Dian Fossey,10/2/1988,1988,40,3451230
Alien Nation,10/9/1988,1988,41,8421429
The Accused,10/16/1988,1988,42,4316369
Halloween 4: The Return of Michael Myers,10/23/1988,1988,43,6831250
Halloween 4: The Return of Michael Myers,10/30/1988,1988,44,4510500
They Live,11/6/1988,1988,45,4827903
Child's Play,11/13/1988,1988,46,6583963
The Land Before Time,11/20/1988,1988,47,7526025
Scrooged,11/27/1988,1988,48,13027842
The Naked Gun: From the Files of Police Squad!,12/4/1988,1988,49,9331746
Twins,12/11/1988,1988,50,11174980
Twins,12/18/1988,1988,51,7781130
Twins,12/26/1988,1988,52,8958675
Rain Man,1/8/1989,1989,1,9245626
Rain Man,1/15/1989,1989,2,10111504
Rain Man,1/22/1989,1989,3,7003147
Rain Man,1/29/1989,1989,4,6829705
Three Fugitives,2/5/1989,1989,5,5477051
The Fly II,2/12/1989,1989,6,6751371
The 'Burbs,2/20/1989,1989,7,11101197
The 'Burbs,2/26/1989,1989,8,6024480
Lean on Me,3/5/1989,1989,9,5032605
Lean on Me,3/12/1989,1989,10,4579440
Fletch Lives,3/19/1989,1989,11,8045760
Fletch Lives,3/26/1989,1989,12,5647320
Rain Man,4/2/1989,1989,13,5537165
Major League,4/9/1989,1989,14,8836265
Major League,4/16/1989,1989,15,7070809
Pet Sematary,4/23/1989,1989,16,12046179
Pet Sematary,4/30/1989,1989,17,8380098
Pet Sematary,5/7/1989,1989,18,6338594
"See No Evil, Hear No Evil",5/14/1989,1989,19,7098741
"See No Evil, Hear No Evil",5/21/1989,1989,20,6105120
Indiana Jones and the Last Crusade,5/29/1989,1989,21,37031573
Indiana Jones and the Last Crusade,6/4/1989,1989,22,21230164
Star Trek V: The Final Frontier,6/11/1989,1989,23,17375648
Ghostbusters II,6/18/1989,1989,24,29472894
Batman,6/25/1989,1989,25,40489746
Batman,7/2/1989,1989,26,30075189
Lethal Weapon 2,7/9/1989,1989,27,20388800
Lethal Weapon 2,7/16/1989,1989,28,17188126
Lethal Weapon 2,7/23/1989,1989,29,13022249
Turner & Hooch,7/30/1989,1989,30,12211042
Parenthood,8/6/1989,1989,31,10506450
Parenthood,8/13/1989,1989,32,9672350
Uncle Buck,8/20/1989,1989,33,8794501
Uncle Buck,8/27/1989,1989,34,6725275
Uncle Buck,9/4/1989,1989,35,7822640
Uncle Buck,9/10/1989,1989,36,4550887
Sea of Love,9/17/1989,1989,37,10017840
Black Rain,9/24/1989,1989,38,9677102
Black Rain,10/1/1989,1989,39,6503065
Black Rain,10/8/1989,1989,40,6100000
Look Who's Talking,10/15/1989,1989,41,12107784
Look Who's Talking,10/22/1989,1989,42,14147340
Look Who's Talking,10/29/1989,1989,43,11556750
Look Who's Talking,11/5/1989,1989,44,11457810
Look Who's Talking,11/12/1989,1989,45,11409873
Harlem Nights,11/19/1989,1989,46,16096808
Back to the Future Part II,11/26/1989,1989,47,27835125
Back to the Future Part II,12/3/1989,1989,48,12110340
The War of the Roses,12/10/1989,1989,49,9488794
National Lampoon's Christmas Vacation,12/17/1989,1989,50,7233119
National Lampoon's Christmas Vacation,12/24/1989,1989,51,7007789
The War of the Roses,1/1/1990,1989,52,10490781
Born on the Fourth of July,1/7/1990,1990,1,11023650
Born on the Fourth of July,1/14/1990,1990,2,8028075
Born on the Fourth of July,1/21/1990,1990,3,6228360
Driving Miss Daisy,1/28/1990,1990,4,5705721
Driving Miss Daisy,2/4/1990,1990,5,6011600
Hard to Kill,2/11/1990,1990,6,9213631
Driving Miss Daisy,2/19/1990,1990,7,9834744
Driving Miss Daisy,2/25/1990,1990,8,6107836
The Hunt for Red October,3/4/1990,1990,9,17161835
The Hunt for Red October,3/11/1990,1990,10,14058772
The Hunt for Red October,3/18/1990,1990,11,11077359
Pretty Woman,3/25/1990,1990,12,11280591
Teenage Mutant Ninja Turtles,4/1/1990,1990,13,25398367
Teenage Mutant Ninja Turtles,4/8/1990,1990,14,18813741
Teenage Mutant Ninja Turtles,4/15/1990,1990,15,14064921
Teenage Mutant Ninja Turtles,4/22/1990,1990,16,9797376
Pretty Woman,4/29/1990,1990,17,7150551
Pretty Woman,5/6/1990,1990,18,6810883
Pretty Woman,5/13/1990,1990,19,7594013
Bird on a Wire,5/20/1990,1990,20,15338160
Back to the Future Part III,5/28/1990,1990,21,23703060
Total Recall,6/3/1990,1990,22,25533700
Another 48 Hrs.,6/10/1990,1990,23,19475559
Dick Tracy,6/17/1990,1990,24,22543911
Dick Tracy,6/24/1990,1990,25,15546837
Days of Thunder,7/1/1990,1990,26,15490445
Die Hard 2,7/8/1990,1990,27,21744661
Die Hard 2,7/15/1990,1990,28,14512301
Ghost,7/22/1990,1990,29,12523295
Presumed Innocent,7/29/1990,1990,30,11718981
Ghost,8/5/1990,1990,31,10798834
Flatliners,8/12/1990,1990,32,10034685
The Exorcist III,8/19/1990,1990,33,9312219
Darkman,8/26/1990,1990,34,8054860
Ghost,9/3/1990,1990,35,9953630
Ghost,9/9/1990,1990,36,6510023
Postcards from the Edge,9/16/1990,1990,37,7871856
Goodfellas,9/23/1990,1990,38,6368901
Pacific Heights,9/30/1990,1990,39,6912637
Marked for Death,10/8/1990,1990,40,11790047
Marked for Death,10/14/1990,1990,41,7423949
Marked for Death,10/21/1990,1990,42,5097944
Graveyard Shift,10/28/1990,1990,43,5082300
Jacob's Ladder,11/4/1990,1990,44,7500760
Child's Play 2,11/11/1990,1990,45,10718520
Home Alone,11/18/1990,1990,46,17081997
Home Alone,11/25/1990,1990,47,20987761
Home Alone,12/2/1990,1990,48,14386876
Home Alone,12/9/1990,1990,49,14232156
Home Alone,12/16/1990,1990,50,11617249
Home Alone,12/25/1990,1990,51,15079919
Home Alone,1/1/1991,1990,52,25148406
Home Alone,1/6/1991,1991,1,12626851
Home Alone,1/13/1991,1991,2,9813012
Home Alone,1/21/1991,1991,3,11069157
Home Alone,1/27/1991,1991,4,7268334
Home Alone,2/3/1991,1991,5,8215408
Sleeping with the Enemy,2/10/1991,1991,6,13777943
The Silence of the Lambs,2/18/1991,1991,7,13766814
The Silence of the Lambs,2/24/1991,1991,8,11947765
The Silence of the Lambs,3/3/1991,1991,9,10616383
The Silence of the Lambs,3/10/1991,1991,10,8893306
The Silence of the Lambs,3/17/1991,1991,11,7656361
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,3/24/1991,1991,12,20030473
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,3/31/1991,1991,13,13049622
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,4/7/1991,1991,14,7812507
Out for Justice,4/14/1991,1991,15,10524026
Out for Justice,4/21/1991,1991,16,7016331
Oscar,4/28/1991,1991,17,5091027
Oscar,5/5/1991,1991,18,4164218
F/X2,5/12/1991,1991,19,5455058
What About Bob?,5/19/1991,1991,20,9216334
Backdraft,5/27/1991,1991,21,15723480
Backdraft,6/2/1991,1991,22,9118395
City Slickers,6/9/1991,1991,23,13032121
Robin Hood: Prince of Thieves,6/16/1991,1991,24,25625602
Robin Hood: Prince of Thieves,6/23/1991,1991,25,18289665
The Naked Gun 2½: The Smell of Fear,6/30/1991,1991,26,20817139
Terminator 2: Judgment Day,7/7/1991,1991,27,31765506
Terminator 2: Judgment Day,7/14/1991,1991,28,20738340
Terminator 2: Judgment Day,7/21/1991,1991,29,14895425
Terminator 2: Judgment Day,7/28/1991,1991,30,11051400
Hot Shots!,8/4/1991,1991,31,10848182
Hot Shots!,8/11/1991,1991,32,8010411
Hot Shots!,8/18/1991,1991,33,6330309
Hot Shots!,8/25/1991,1991,34,4676467
Dead Again,9/2/1991,1991,35,6315869
Dead Again,9/8/1991,1991,36,4366330
Freddy's Dead: The Final Nightmare,9/15/1991,1991,37,12966525
Freddy's Dead: The Final Nightmare,9/22/1991,1991,38,6626378
The Fisher King,9/29/1991,1991,39,7067908
The Fisher King,10/6/1991,1991,40,6103250
The Fisher King,10/13/1991,1991,41,4993580
Other People's Money,10/20/1991,1991,42,5012332
House Party 2,10/27/1991,1991,43,6027105
The People Under the Stairs,11/3/1991,1991,44,5522250
Curly Sue,11/10/1991,1991,45,4957474
Cape Fear,11/17/1991,1991,46,10261025
The Addams Family,11/24/1991,1991,47,24203754
The Addams Family,12/1/1991,1991,48,20133616
Star Trek VI: The Undiscovered Country,12/8/1991,1991,49,18162837
Hook,12/15/1991,1991,50,13522535
Hook,12/22/1991,1991,51,9638615
Hook,12/29/1991,1991,52,15218400
Hook,1/5/1992,1992,1,11472860
The Hand That Rocks the Cradle,1/12/1992,1992,2,7675016
The Hand That Rocks the Cradle,1/20/1992,1992,3,11839246
The Hand That Rocks the Cradle,1/26/1992,1992,4,8007691
The Hand That Rocks the Cradle,2/2/1992,1992,5,8120455
Medicine Man,2/9/1992,1992,6,8494271
Wayne's World,2/17/1992,1992,7,18122710
Wayne's World,2/23/1992,1992,8,11812944
Wayne's World,3/1/1992,1992,9,9641720
Wayne's World,3/8/1992,1992,10,8371600
Wayne's World,3/15/1992,1992,11,8430398
Basic Instinct,3/22/1992,1992,12,15129385
White Men Can't Jump,3/29/1992,1992,13,14711124
White Men Can't Jump,4/5/1992,1992,14,10188583
Sleepwalkers,4/12/1992,1992,15,10017354
Basic Instinct,4/19/1992,1992,16,6653950
Basic Instinct,4/26/1992,1992,17,5355420
